"id","name","type","address","city","postcode","lat","lon","website","phone","opening_hours","price_tier","avg_rating","suggested_duration","tags","image_url","description_short","description_long","description_last_generated","review_count_at_generation"
1,"British Museum","Museum","Great Russell St","London","WC1B 3DG",51.5194,-0.127,"https://www.britishmuseum.org","+44 20 7323 8299","10:00-17:00",1,4.8,180,"History;Rainy Day;Family","https://plus.unsplash.com/premium_photo-1661925387774-b1ba6b7bb0ad?q=80&w=1161&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","World-famous museum of human history and culture.","World-famous museum of human history and culture.","2026-04-08 08:49:47",0
65,"Sea Containers London","Hotel","20 Upper Ground","London","SE1 9PD",51.508,-0.1065,"https://www.seacontainerslondon.com","+44 20 3747 1000","24-Jul",3,4.5,0,"River;Views;Modern","","","","",0
66,"The Wolseley","Restaurant","160 Piccadilly","London","W1J 9EB",51.5072,-0.1415,"https://www.thewolseley.com","+44 20 7499 6996","07:00-23:00",3,4.6,90,"Breakfast;Classic;Buzzing","","","The Wolseley, a grand European-style café in the heart of Mayfair, is an experience in itself. Stepping inside feels like entering a bygone era of opulent glamour, and it’s immediately understood why it’s such a popular destination. Visitors often find themselves drawn to the buzzing atmosphere, a lively blend of locals and tourists alike, all seeking a moment of sophisticated indulgence. Breakfast here is a classic affair, featuring beautifully presented pastries, eggs benedict, and a wide selection of teas and coffees – a truly indulgent start to the day. The café’s enduring appeal lies in its ability to transport guests to a more elegant time, while simultaneously offering a vibrant and welcoming space. Many guests come back for the atmosphere, appreciating the impeccable service and the feeling of being part of a special occasion, whether it’s a casual brunch or a business meeting. It’s a London landmark that consistently delivers a memorable and stylish experience.","2026-04-17 19:37:22",0
67,"Sketch","Restaurant","9 Conduit Street","London","W1S 2XG",51.5126,-0.1413,"https://sketch.london","+44 20 7659 4500","09:00-02:00",4,4.4,120,"Instagrammable;Art;Unique","","","Sketch is a truly unique London destination, instantly recognizable for its striking, architectural design and vibrant atmosphere. Visitors often describe it as an Instagrammable haven, a place where art and stylish dining collide. The restaurant itself is a work of art, with its dramatic ceilings and eclectic decor, creating a memorable experience from the moment you step inside. Many guests come back for the atmosphere, appreciating the buzz of conversation and the beautiful setting. Sketch consistently receives praise for its innovative approach to food and drink, offering a menu that’s as visually stunning as it is delicious, making it a must-visit for anyone seeking a special and memorable evening out in the city.","2026-04-20 11:46:50",0
68,"Gymkhana","Restaurant","42 Albemarle Street","London","W1S 4JH",51.5085,-0.1412,"https://gymkhanalondon.com","+44 20 7499 8010","12:00-22:30",4,4.6,120,"Indian;Michelin;Spicy","","","","",0
69,"Dishoom Covent Garden","Restaurant","12 Upper St Martin's Ln","London","WC2H 9FB",51.5125,-0.127,"https://www.dishoom.com","+44 20 7420 9320","08:00-23:00",2,4.7,90,"Indian;Casual;Popular","","","Dishoom Covent Garden is a hugely popular Indian restaurant offering a vibrant and casual dining experience in the heart of London. The restaurant’s design evokes the atmosphere of 1950s Bombay, creating a lively and welcoming space that’s a favorite with locals and tourists alike. Visitors often find themselves drawn to the bustling atmosphere and the promise of delicious, authentic Indian cuisine. The menu is extensive, featuring classic dishes alongside innovative specials, and the consistently high quality of the food is a major reason why many guests come back for the atmosphere and the chance to enjoy a memorable meal. It’s a place where you can easily spend an evening enjoying flavorful food and soaking up the energetic vibe.","2026-04-17 16:32:55",0
70,"Hoppers Soho","Restaurant","49 Frith Street","London","W1D 4SG",51.5133,-0.1315,"https://www.hopperslondon.com","","12:00-22:30",2,4.6,60,"Sri Lankan;Soho;Spicy","","","","",0
71,"Barrafina Dean Street","Restaurant","26-27 Dean Street","London","W1D 3LL",51.5135,-0.132,"https://www.barrafina.co.uk","+44 20 7813 2555","12:00-23:00",3,4.7,75,"Tapas;Counter;Spanish","","","","",0
72,"Gloria","Restaurant","54-56 Great Eastern St","London","EC2A 3QR",51.5238,-0.0825,"https://www.bigmammagroup.com","","12:00-22:45",3,2.0,90,"Italian;Vibe;Instagram","","","Gloria’s London experience is a vibrant splash of Italian charm amidst the historic city. Visitors consistently describe the atmosphere as effortlessly cool and stylish, a perfect blend of classic British elegance and a relaxed, modern vibe. The space feels incredibly Instagrammable, with carefully curated details and a color palette that’s both inviting and chic. Many guests comment on the feeling of stepping into a stylish, secret hideaway, a welcome escape from the bustling streets outside. The restaurant’s popularity speaks to its ability to capture a specific mood – one of sophisticated fun and delicious food. It’s a place where people linger, enjoying expertly crafted cocktails and sharing plates of flavorful dishes. Visitors often find themselves returning, drawn back by the consistently positive impressions and the promise of a memorable evening.","2026-04-22 21:20:59",0
73,"Circolo Popolare","Restaurant","40-41 Rathbone Place","London","W1T 1HX",51.5173,-0.1345,"https://www.bigmammagroup.com","","12:00-22:45",3,4.6,90,"Italian;Decor;Pasta","","","Circolo Popolare offers a delightful escape to Italy right in the heart of London. The restaurant’s interior is wonderfully decorated with a distinctly Italian feel, creating a warm and inviting atmosphere. Exposed brick, vintage posters, and carefully chosen artwork evoke a sense of old-world charm, transporting diners to a bustling trattoria. Visitors often find themselves returning for the exceptional pasta dishes, which are consistently praised for their quality and authentic flavors. Many guests comment on the generous portions and the overall convivial atmosphere, making Circolo Popolare a popular choice for a satisfying and memorable meal.","2026-04-18 14:28:21",0
74,"Miga","Restaurant","1 Mare Street","London","E8 4RP",51.5375,-0.055,"https://miga.london","","17:00-22:30",3,4.8,90,"Korean;Modern;Hackney","","","Miga in Hackney offers a refreshingly modern take on the classic Korean bar experience. Situated in the vibrant heart of East London, this spot has quickly become a favorite for those seeking a stylish and energetic evening. Visitors often describe the atmosphere as buzzing and cool, a welcome contrast to the more traditional Korean restaurants found elsewhere in the city. The sleek, contemporary design, combined with a carefully curated cocktail list and a selection of delicious small plates, creates a truly memorable setting. Many guests come back for the atmosphere and the consistently good food and drinks. The space feels particularly appealing to a younger, trend-conscious crowd, and it’s a popular destination for after-work drinks and weekend gatherings. Miga’s Hackney location adds to its appeal, placing it within a thriving neighborhood known for its independent shops, art galleries, and diverse culinary scene.","2026-04-17 19:57:04",0
75,"Oma","Restaurant","3 Bedale Street","London","SE1 9AL",51.5052,-0.0905,"https://oma.london","","12:00-23:00",3,4.5,90,"Greek;Market;New","","","","",0
76,"Brat","Restaurant","4 Redchurch Street","London","E1 6JL",51.5236,-0.0765,"https://bratrestaurant.com","","12:00-23:00",3,4.5,90,"Basque;Grill;Shoreditch","","","","",0
77,"St. JOHN","Restaurant","26 St John Street","London","EC1M 4AY",51.5205,-0.1005,"https://stjohnrestaurant.com","+44 20 7251 0848","12:00-23:00",3,4.5,120,"British;Nose-to-Tail;Iconic","","","","",0
78,"Lyle's","Restaurant","56 Shoreditch High St","London","E1 6JJ",51.524,-0.077,"https://www.lyleslondon.com","+44 20 3011 5911","12:00-23:00",4,4.6,120,"Modern British;Minimal;Foodie","","","","",0
79,"The Clove Club","Restaurant","380 Old Street","London","EC1V 9LT",51.5262,-0.0805,"https://www.thecloveclub.com","+44 20 7729 6496","18:00-22:00",4,4.6,150,"Fine Dining;Tasting;Top50","","","","",0
80,"Core by Clare Smyth","Restaurant","92 Kensington Park Rd","London","W11 2PN",51.512,-0.2045,"https://www.corebyclaresmyth.com","+44 20 3937 5086","18:30-22:30",4,4.9,180,"Michelin;Fine Dining;Notting Hill","","","Core, nestled in the charming Notting Hill neighborhood, offers a truly exceptional fine dining experience. This celebrated restaurant holds three Michelin stars, a testament to its unwavering commitment to culinary excellence and impeccable service. Visitors often describe the atmosphere as both elegant and welcoming, creating a space perfect for a special occasion or a memorable evening out. The kitchen at Core consistently delivers innovative and beautifully presented dishes, showcasing the best of British ingredients with a sophisticated and thoughtful approach. Many guests come back for the atmosphere and the consistently high quality of the food, cementing Core’s reputation as a must-visit destination for serious food lovers in London.","2026-04-17 19:56:58",0
83,"The Shard","Attraction","32 London Bridge St","London","SE1 9SG",51.5045,-0.0865,"https://www.the-shard.com","+44 844 499 7111","10:00-22:00",4,4.6,60,"Views;Skyscraper;Bar","","","The Shard dominates London’s skyline as a breathtaking skyscraper, offering unparalleled panoramic views of the city and beyond. Rising over 309 meters high, it’s a truly impressive sight, and visitors consistently describe the vistas as spectacular. From the viewing levels, you can spot iconic landmarks like Buckingham Palace, the Tower of London, and the Houses of Parliament, stretching out as far as the eye can see on a clear day. Beyond the stunning scenery, The Shard also boasts several sophisticated bars, providing a luxurious experience. Many guests come back for the atmosphere, enjoying expertly crafted cocktails while soaking in the incredible cityscape. It’s a popular destination for both tourists and Londoners alike, and visitors often find themselves returning to experience its grandeur once more.","2026-04-17 16:42:43",0
84,"Buckingham Palace","Attraction","Westminster","London","SW1A 1AA",51.5014,-0.1419,"https://www.rct.uk/visit/buckingham-palace","+44 303 123 7300","09:30-19:30",3,4.0,120,"Royal;Palace;Changing Guard","https://blog.sothebysrealty.co.uk/hs-fs/hubfs/unnamed%20(65).jpg?width=1000&height=574&name=unnamed%20(65).jpg","","Buckingham Palace stands as a magnificent symbol of British royalty, a truly iconic landmark in London. This historic palace has served as the official residence of the monarch for centuries and remains a working royal residence today. Visitors are consistently drawn to witness the Changing Guard ceremony, a vibrant and meticulously choreographed display of precision and tradition that draws huge crowds. The palace’s impressive architecture and the palpable sense of history create a memorable experience for all who visit. Many guests return to experience the grandeur of the State Rooms during the summer opening, marveling at the opulent interiors and priceless artwork. Beyond the formal tours, the surrounding area buzzes with a unique atmosphere, fueled by the anticipation of the ceremony and the sheer spectacle of the Royal residence. It’s a place where history and pageantry come to life, leaving a lasting impression on those who explore its significance.","2026-04-12 16:06:47",1
85,"Westminster Abbey","Attraction","20 Deans Yd","London","SW1P 3PA",51.4993,-0.1273,"https://www.westminster-abbey.org","+44 20 7222 5152","09:30-15:30",3,4.6,90,"History;Royal;Church","","","Westminster Abbey stands as a monumental testament to British history, a magnificent church that has witnessed over a thousand years of royal coronations, weddings, and burials. Originally founded in the 10th century, it evolved into a pivotal royal church, inextricably linked to the monarchy and the nation’s spiritual life. The Abbey’s walls hold countless stories, from the echoes of medieval chants to the solemn pronouncements of modern-day state occasions, making it a truly unique and deeply significant landmark. Visitors often find themselves captivated by the sheer scale and intricate beauty of the building, appreciating the stunning stained glass windows and the ornate tombs of kings, queens, poets, and scientists. Many guests come back for the atmosphere, drawn to the palpable sense of history and the quiet reverence that permeates the space. It’s a place where the past feels remarkably present, offering a profound connection to centuries of British tradition and enduring legacy.","2026-04-12 16:06:15",0
86,"St Paul's Cathedral","Attraction","St. Paul's Churchyard","London","EC4M 8AD",51.5138,-0.0984,"https://www.stpauls.co.uk","+44 20 7246 8350","08:30-16:30",3,4.7,90,"Architecture;Views;Church","","","","",0
87,"Tower Bridge","Attraction","Tower Bridge Road","London","SE1 2UP",51.5055,-0.0754,"https://www.towerbridge.org.uk","+44 20 7403 3761","09:30-18:00",2,4.7,60,"Iconic;Views;River","","","Tower Bridge is undeniably an iconic landmark of London, instantly recognizable and a must-see for any visitor. Rising majestically over the River Thames, this Victorian marvel offers breathtaking views of the city’s skyline, from the historic Tower of London to the modern skyscrapers in the distance. The bridge’s intricate architecture and fascinating engineering history draw crowds eager to learn about its past and witness its impressive operation. Many guests come back for the atmosphere, captivated by the spectacle of the bascules lifting to allow ships to pass. Visitors often find themselves returning simply to experience the bustling activity around the bridge and to capture stunning photographs of this enduring symbol of London.","2026-04-12 16:07:09",1
88,"Kew Gardens","Attraction","Kew","London","TW9 3AE",51.4787,-0.2956,"https://www.kew.org","+44 20 8332 5655","10:00-19:00",3,4.8,180,"Nature;Gardens;Walk","","","Kew Gardens offers a truly remarkable escape into the heart of nature. Spanning an immense area, it’s a sprawling landscape of meticulously designed gardens and wilder, more naturalistic spaces. Visitors often find themselves happily lost within the diverse collections, from the Temperate House, home to the world’s oldest known living example of an Australian tree fern, to the vibrant displays of the Princess of Wales Conservatory. A leisurely walk through the grounds is a wonderful way to spend an afternoon, discovering hidden pathways and breathtaking vistas. The atmosphere at Kew is consistently described as peaceful and inspiring, with many guests returning simply to enjoy the tranquility and beauty. It’s a place where one can reconnect with the natural world, appreciate horticultural artistry, and lose track of time amidst the stunning scenery. The sheer scale of the gardens and the variety of experiences available ensure that there’s something to captivate every visitor.","2026-04-19 18:46:17",0
89,"ZSL London Zoo","Attraction","Regent's Park","London","NW1 4RY",51.5353,-0.1534,"https://www.zsl.org/zsl-london-zoo","+44 344 225 1826","10:00-18:00",4,4.4,240,"Animals;Family;Outdoor","","","","",0
90,"Madame Tussauds","Attraction","Marylebone Road","London","NW1 5LR",51.523,-0.1543,"https://www.madametussauds.com/london","+44 871 894 3000","10:00-16:00",4,4.3,120,"Wax;Celebs;Family","","","","",0
91,"London Dungeon","Attraction","County Hall","London","SE1 7PB",51.5033,-0.1195,"https://www.thedungeons.com/london","+44 20 7654 0809","10:00-17:00",4,4.4,90,"Scary;History;Interactive","","","","",0
92,"SEA LIFE London","Attraction","County Hall","London","SE1 7PB",51.5033,-0.1195,"https://www.visitsealife.com/london","+44 20 7967 8025","10:00-17:00",4,5.0,90,"Fish;Family;Aquarium","","","SEA LIFE London Aquarium is a fantastic destination for families and anyone interested in exploring the underwater world. The aquarium boasts an incredible collection of fish from around the globe, housed in beautifully designed habitats that mimic their natural environments. Visitors are consistently impressed by the sheer variety and vibrant colors of the marine life on display, from playful sharks and rays to delicate seahorses and fascinating invertebrates. The aquarium offers a captivating experience for all ages, providing an immersive journey through diverse aquatic ecosystems. Many guests return specifically to enjoy the atmosphere and witness the mesmerizing movements of the fish, creating lasting memories with their loved ones. It’s a truly engaging and educational experience, making it a popular choice for a memorable day out in London.","2026-04-19 17:16:01",0
93,"Hampton Court Palace","Attraction","Hampton Court Way","London","KT8 9AU",51.4036,-0.3378,"https://www.hrp.org.uk/hampton-court-palace","+44 20 3166 6000","10:00-17:30",3,4.8,180,"History;Tudor;Gardens","","","Hampton Court Palace stands as a magnificent testament to Tudor England, a sprawling royal residence steeped in centuries of history. Originally built by Cardinal Wolsey in the 16th century, the palace was later occupied by Henry VIII and continued to be a favored retreat for subsequent monarchs. Visitors often find themselves captivated by the sheer scale of the palace, wandering through opulent state apartments filled with priceless artwork and intricate furnishings, imagining the lavish court life that once unfolded within its walls. The palace’s story is interwoven with intrigue, power struggles, and royal celebrations, offering a fascinating glimpse into a pivotal period of British history. Beyond the palace itself, Hampton Court’s extensive gardens are a highlight for many guests. These meticulously landscaped grounds, featuring a fragrant maze, a serene canal, and vibrant flowerbeds, provide a tranquil escape. Many visitors come back for the atmosphere, enjoying leisurely strolls and appreciating the beauty of the formal gardens and the more naturalistic wilderness area. It’s a place where history and nature combine to create a truly memorable experience.","2026-04-12 16:06:21",0
94,"Kensington Palace","Attraction","Kensington Gardens","London","W8 4PX",51.505,-0.1877,"https://www.hrp.org.uk/kensington-palace","+44 20 3166 6000","10:00-18:00",3,4.4,90,"Royal;History;Park","","","","",0
95,"Royal Albert Hall","Attraction","Kensington Gore","London","SW7 2AP",51.5009,-0.1774,"https://www.royalalberthall.com","+44 20 7589 8212","09:00-17:00",3,4.7,60,"Music;Architecture;Iconic","","","","",0
98,"Covent Garden Market","Market","The Market","London","WC2E 8RF",51.5117,-0.1233,"https://www.coventgarden.london","","10:00-20:00",1,4.6,60,"Shopping;Street Performers;Food","","","Covent Garden Market is a vibrant and bustling hub in the heart of London, offering a truly unique experience for visitors. The market is a treasure trove for shoppers, with a diverse array of stalls selling everything from handcrafted jewelry and quirky souvenirs to clothing and homewares. Beyond the retail offerings, Covent Garden is renowned for its lively street performers who entertain crowds with music, dance, and acrobatics, creating a joyful and energetic atmosphere. Many guests come back for the atmosphere and the sheer variety of things to see and do. Food lovers will also be delighted by the numerous options available, ranging from traditional street food vendors offering classic British fare to gourmet restaurants and cafes. Visitors often find themselves returning to Covent Garden simply to soak up the atmosphere and enjoy the constant entertainment and delicious food on offer.","2026-04-12 17:03:24",0
99,"Camden Market","Market","Camden Lock Place","London","NW1 8AF",51.5416,-0.1463,"https://www.camdenmarket.com","+44 20 7485 5511","10:00-18:00",2,5.0,120,"Alternative;Food;Shopping","","","Camden Market is a vibrant and utterly unique destination in London, a sprawling hub of alternative culture and independent spirit. Visitors often find themselves drawn to its eclectic mix of stalls, offering everything from vintage clothing and handcrafted jewelry to quirky homewares and artwork. The market truly embodies the spirit of London’s creative scene, providing a fantastic opportunity for shoppers seeking something different and a chance to discover truly original finds. Beyond the shopping, Camden Market is a feast for the senses, particularly when it comes to food. A huge variety of street food vendors line the walkways, representing cuisines from around the globe and catering to every taste. Many guests come back for the atmosphere, enjoying the lively buzz, the diverse crowd, and the sheer energy of this iconic London landmark.","2026-04-19 17:20:39",0
100,"Portobello Road Market","Market","Portobello Road","London","W11 1LA",51.5155,-0.2045,"http://www.portobelloroad.co.uk","","09:00-19:00",1,4.5,120,"Antiques;Notting Hill;Saturday","","","Portobello Road Market offers a relaxed and enjoyable spot to explore, with plenty of character to take in at your own pace.","2026-04-08 11:28:13",0
103,"Science Museum","Museum","Exhibition Road","London","SW7 2DD",51.4975,-0.1747,"https://www.sciencemuseum.org.uk","+44 330 058 0058","10:00-18:00",1,5.0,120,"Science;Kids;Interactive","","","The Science Museum in London is a captivating destination for visitors of all ages, particularly those with children. It’s a place where the wonders of science come to life through a vast collection of exhibits, spanning centuries of innovation and discovery. The museum’s strength lies in its incredibly interactive displays, allowing guests to experiment with physics, explore the human body, and delve into the history of flight – truly engaging young minds and sparking curiosity in everyone. Many visitors find themselves returning to the Science Museum, drawn back by the sheer breadth of its content and the consistently stimulating atmosphere. It’s a place where learning is an adventure, and where the past, present, and future of science are vividly presented, offering a memorable experience for the whole family.","2026-04-19 17:06:29",0
104,"Victoria and Albert Museum","Museum","Cromwell Road","London","SW7 2RL",51.4966,-0.1722,"https://www.vam.ac.uk","+44 20 7942 2000","10:00-17:45",1,4.8,150,"Art;Design;Fashion","","","The Victoria and Albert Museum in London is a truly remarkable destination for anyone with an interest in art, design, and fashion. Spanning centuries and cultures, the museum’s vast collections showcase the evolution of decorative arts and design, from ancient ceramics to contemporary fashion. Visitors often find themselves completely immersed in the displays, captivated by the intricate details and historical significance of each piece. The museum’s layout encourages exploration, with themed galleries offering a journey through different periods and artistic movements. Many guests come back for the atmosphere, appreciating the grand architecture and the thoughtfully curated exhibitions. It’s a place where one can spend hours discovering beautiful objects and learning about the creative processes behind them, leaving with a renewed appreciation for the artistry and innovation that have shaped our world.","2026-04-20 07:36:18",0
106,"Tate Britain","Museum","Millbank","London","SW1P 4RG",51.4911,-0.1278,"https://www.tate.org.uk/visit/tate-britain","+44 20 7887 8888","10:00-18:00",1,4.6,90,"British Art;Turner;Free","","","","",0
107,"National Gallery","Museum","Trafalgar Square","London","WC2N 5DN",51.5089,-0.1283,"https://www.nationalgallery.org.uk","+44 20 7747 2885","10:00-18:00",1,4.8,120,"Art;Paintings;Free","","","The National Gallery in Trafalgar Square offers an unparalleled journey through Western art history. Housing a vast collection of paintings spanning from the 13th to the 19th centuries, it’s a treasure trove for anyone interested in artistic development. Visitors often find themselves captivated by masterpieces from renowned artists like Van Gogh, Monet, and Rembrandt, exploring diverse styles and periods within a single, stunning building. Admission to the gallery is free, making it an accessible and enriching experience for all. Many guests come back for the atmosphere, appreciating the grand spaces and the quiet moments of contemplation amidst such a rich artistic legacy. It’s a place where art truly speaks for itself, inviting repeated visits and deeper engagement with the world of painting.","2026-04-19 19:11:18",0
108,"National Portrait Gallery","Museum","St Martin's Place","London","WC2H 0HE",51.5094,-0.1281,"https://www.npg.org.uk","+44 20 7306 0055","10:30-18:00",1,4.6,90,"Portraits;History;Art","","","","",0
109,"Imperial War Museum","Museum","Lambeth Road","London","SE1 6HZ",51.4958,-0.1086,"https://www.iwm.org.uk","+44 20 7416 5000","10:00-18:00",1,4.7,120,"War;History;Tanks","","","The Imperial War Museum in London offers a profoundly moving and immersive experience exploring the realities of war and its lasting impact on society. It’s a place where history isn’t just read about, but vividly felt through a vast collection of artifacts, vehicles, and personal stories. Visitors are particularly drawn to the displays detailing conflicts from both World Wars, alongside exhibitions focusing on more recent conflicts and the impact of modern warfare. A significant portion of the museum is dedicated to military vehicles, including impressive tanks that showcase the evolution of armored warfare and the devastating power of these machines. Many guests find the museum’s atmosphere deeply affecting, prompting reflection on the human cost of conflict. It’s a space where the scale of war is brought to life, and the personal stories of those involved resonate powerfully. Visitors often find themselves returning to delve deeper into specific exhibits or to simply absorb the weight of the museum’s powerful narrative, recognizing the importance of remembering and learning from the past.","2026-04-09 19:21:01",0
110,"Churchill War Rooms","Museum","Clive Steps","London","SW1A 2AQ",51.5022,-0.1292,"https://www.iwm.org.uk/visits/churchill-war-rooms","+44 20 7930 6961","09:30-18:00",3,4.8,90,"History;WWII;Bunker","","","","",0
111,"London Transport Museum","Museum","Covent Garden","London","WC2E 7BB",51.5122,-0.1227,"https://www.ltmuseum.co.uk","+44 343 222 5000","10:00-18:00",3,4.6,90,"Transport;Kids;Buses","","","London Transport Museum is a Museum in London. It is especially known for Transport, Kids, Buses. It is a strong choice for travellers who want a memorable stop with local character, useful facilities, and an easy way to experience the area at a relaxed pace.","2026-04-08 08:51:08",1
112,"Royal Museums Greenwich","Museum","Romney Road","London","SE10 9NF",51.4812,-0.0052,"https://www.rmg.co.uk","+44 20 8858 4422","10:00-17:00",2,4.7,120,"Maritime;Greenwich;History","","","","",0
113,"Design Museum","Museum","Kensington High St","London","W8 6AG",51.4996,-0.2008,"https://designmuseum.org","+44 20 3862 5900","10:00-18:00",2,4.4,90,"Design;Modern;Architecture","","","The Design Museum in London is a captivating destination for anyone interested in the evolution of design, encompassing modern and architectural styles. The museum’s permanent and temporary exhibitions showcase a remarkable breadth of creative work, from furniture and product design to graphic design and fashion. Visitors often find themselves drawn to the thoughtful curation and the way the museum explores the impact of design on our daily lives, presenting a compelling narrative of innovation and aesthetic development. Many guests come back for the atmosphere, appreciating the bright, airy spaces and the engaging displays that encourage a deeper understanding of design principles. It’s a place where visitors can truly immerse themselves in the world of form, function, and the stories behind the objects we encounter every day, making it a worthwhile stop for design enthusiasts and curious travelers alike.","2026-04-20 07:37:58",0
114,"Saatchi Gallery","Museum","Duke of York's HQ","London","SW3 4RY",51.4907,-0.1588,"https://www.saatchigallery.com","+44 20 7811 3070","10:00-18:00",2,4.4,60,"Contemporary Art;Chelsea;Exhibitions","","","","",0
115,"Hyde Park","Park","Westminster","London","W2 2UH",51.5073,-0.1657,"https://www.royalparks.org.uk","","05:00-00:00",1,4.7,120,"Park;Boating;Walk","","","Hyde Park is a sprawling green oasis in the heart of London, offering a welcome respite from the city’s bustle. Visitors often find themselves drawn to the park’s expansive lawns and serene waterways. Boating on the Serpentine lake is a popular activity, providing a relaxing way to enjoy the beautiful surroundings, while a leisurely walk through the park’s many paths reveals hidden groves, historic monuments, and vibrant flowerbeds. The park’s atmosphere is consistently appealing, with many guests coming back for the sense of tranquility and space it provides. It’s a place where people can simply unwind, enjoy a picnic, or take a refreshing stroll – a true London landmark that continues to captivate those who experience it.","2026-04-12 16:07:24",1
116,"Regent's Park","Park","Camden","London","NW1 4NR",51.5313,-0.1569,"https://www.royalparks.org.uk","","05:00-21:30",1,4.7,90,"Park;Roses;Gardens","","","","",0
117,"St James's Park","Park","The Mall","London","SW1A 2BJ",51.5025,-0.1348,"https://www.royalparks.org.uk","","05:00-00:00",1,4.8,60,"Park;Palace;Pelicans","","","St James’s Park is a beloved green space nestled in the heart of London, offering a tranquil escape from the bustling city. The park surrounds Buckingham Palace, providing a beautiful backdrop for royal ceremonies and a peaceful place for visitors to stroll. It’s a remarkably well-maintained area, featuring flowerbeds, lawns, and mature trees that create a classic English park atmosphere. Many guests appreciate the serene setting and the opportunity to simply relax and observe the world go by. A key feature of St James’s Park is its resident pelicans, who are a constant source of fascination for onlookers. Visitors often find themselves returning to watch the birds being fed daily, a charming tradition that adds to the park’s unique character. The lake and its surrounding pathways are particularly popular, offering lovely views and a sense of calm, making St James’s Park a consistently favored destination for locals and tourists alike.","2026-04-08 13:04:32",0
118,"Greenwich Park","Park","Greenwich","London","SE10 8QY",51.4769,0.0005,"https://www.royalparks.org.uk","","06:00-21:00",1,4.8,90,"Park;Views;Observatory","","","","",0
119,"Richmond Park","Park","Richmond","London","TW10 5HS",51.4426,-0.28,"https://www.royalparks.org.uk","","07:00-20:30",1,5.0,180,"Deer;Nature;Wild","","","Richmond Park is a sprawling royal park offering a truly wild and expansive experience within London. It’s renowned for its large population of deer, which roam freely across the vast grasslands and ancient woodlands. Visitors often find themselves captivated by these majestic animals, observing them in their natural habitat as they graze and interact. The park’s landscape is a beautiful blend of nature, with diverse habitats supporting a wide variety of plant and birdlife, creating a serene and immersive environment. Many guests come back for the atmosphere, appreciating the sense of escape and tranquility that Richmond Park provides. It’s a place where one can easily lose track of time, wandering along footpaths, enjoying panoramic views, and simply connecting with the beauty of the British countryside – a remarkable contrast to the bustling city just beyond its borders.","2026-04-19 18:51:58",0
120,"Shakespeare's Globe","Theatre","21 New Globe Walk","London","SE1 9DT",51.5081,-0.0972,"https://www.shakespearesglobe.com","+44 20 7902 1400","Varies",3,4.7,150,"Theatre;Shakespeare;OpenAir","","","The Shakespeare’s Globe is a truly unique theatrical experience, a faithful reconstruction of the original Elizabethan playhouse that once stood on this very site. This open-air theatre offers a remarkable glimpse into the world of William Shakespeare, allowing audiences to witness his plays as they were originally performed. Visitors often find themselves transported back in time, captivated by the energy of the stage and the vibrant atmosphere of the surrounding area. Many guests come back for the atmosphere, appreciating the sense of community and the feeling of being part of a living, breathing piece of history. The wooden O, with its galleries and groundlings, provides a wonderfully immersive setting, and the performances themselves are consistently engaging, bringing Shakespeare’s words to life in a way that’s both accessible and deeply moving.","2026-04-19 15:01:03",0
121,"Royal Opera House","Theatre","Bow Street","London","WC2E 9DD",51.5129,-0.1221,"https://www.roh.org.uk","+44 20 7304 4000","Varies",4,4.7,180,"Opera;Ballet;CoventGarden","","","","",0
122,"National Theatre","Theatre","Upper Ground","London","SE1 9PX",51.5069,-0.1141,"https://www.nationaltheatre.org.uk","+44 20 7452 3000","Varies",3,4.7,150,"Theatre;Southbank;Culture","","","","",0
123,"The Old Vic","Theatre","The Cut","London","SE1 8NB",51.502,-0.1095,"https://www.oldvictheatre.com","+44 344 871 7628","Varies",3,4.6,150,"Theatre;Historic;Waterloo","","","","",0
124,"London Palladium","Theatre","Argyll Street","London","W1F 7TF",51.5145,-0.1408,"https://lwtheatres.co.uk","","Varies",3,4.6,150,"Theatre;Musical;WestEnd","","","","",0
125,"Harrods","Shopping","Brompton Road","London","SW1X 7XL",51.4994,-0.1632,"https://www.harrods.com","+44 20 7730 1234","10:00-21:00",4,4.5,120,"Luxury;Shopping;FoodHall","","","","",0
126,"Selfridges","Shopping","400 Oxford Street","London","W1A 1AB",51.5144,-0.1528,"https://www.selfridges.com","+44 800 123 400","10:00-22:00",3,5.0,120,"Shopping;Fashion;OxfordSt","","","Selfridges on Oxford Street is a London institution and a must-visit for any serious shopper. This iconic department store is renowned for its exceptional selection of fashion, offering everything from high-end designer collections to contemporary trends and a curated range of beauty and homeware. Visitors often find themselves captivated by the sheer scale of the building and the dazzling displays that showcase the latest arrivals. The store’s central location and luxurious atmosphere draw many guests back time and again. It’s more than just a place to buy; Selfridges provides a truly immersive shopping experience, with beautiful food halls, personal styling services, and a vibrant energy that makes it a memorable part of any London trip.","2026-04-19 17:20:18",0
127,"Liberty London","Shopping","Regent Street","London","W1B 5AH",51.5142,-0.1396,"https://www.libertylondon.com","+44 20 7734 1234","10:00-20:00",3,4.7,60,"Tudor;Fabric;Luxury","","","","",0
